2017-05-09	323849	34911292	38527563	15916415
2017-05-10	384810	34711402	38756601	15941354
2017-05-11	527069	34327584	39071578	15950068
2017-05-12	470247	33774567	39273885	15962372
2017-05-13	461517	33632747	39461787	15986601
2017-05-14	448183	33399382	39604595	16001825
2017-05-15	414166	33333615	39653743	16007667
2017-05-16	445752	33201760	39769302	16027587
2017-05-17	453035	33192865	39943738	16057748
2017-05-18	424881	33186392	40068255	16084783
2017-05-19	413469	33133895	40191676	16108424
2017-05-20	307705	33238747	40255044	16123281
2017-05-21	425666	33484092	40358230	16143164
2017-05-22	405504	33629514	40401007	16151551
2017-05-23	415686	33861954	40522642	16181675
2017-05-24	399254	34009337	40662994	16216995
2017-05-25	450834	34248578	40770114	16249346
2017-05-26	437800	34249988	40884946	16281041
2017-05-27	393297	34296481	41035298	16330910
2017-05-28	263302	34392187	41149520	16360288
2017-05-29	279968	34399949	41188550	16369027
2017-05-30	337344	34475803	41275429	16394508
2017-05-31	324699	34591365	41416258	16435630
2017-06-01	379334	34794357	41571115	16465538
2017-06-02	341487	34922626	41739938	16493251
2017-06-03	315630	35062678	41869131	16526049
2017-06-04	341910	35224860	41982615	16538225
2017-06-05	319291	35345700	42062239	16548755
2017-06-06	329145	35477621	42242822	16591843
2017-06-07	403449	35591176	42397306	16624180
2017-06-08	335095	35724778	42539176	16656387
2017-06-09	350850	35746925	42679116	16682855
2017-06-10	458527	35739930	42799000	16700138
2017-06-11	437044	35690131	42878321	16702566
2017-06-12	462923	35544480	42950384	16696573
2017-06-13	463180	35482036	43057622	16710815
2017-06-14	527464	35539619	43218152	16740239
2017-06-15	483660	35576195	43397460	16774948
2017-06-16	465834	35598552	43620962	16810205
2017-06-17	519541	35704940	43851853	16836443
2017-06-18	536146	35817668	44020033	16849176
2017-06-19	541146	35977550	44154668	16857093
2017-06-20	573285	36189626	44357865	16879734
2017-06-21	560869	36532959	44597079	16917011
2017-06-22	618153	36934299	44915833	16949511
2017-06-23	573857	37302811	45109104	16981629
2017-06-24	531171	37571601	45346656	17006934
2017-06-25	533599	37854020	45531355	17021532
2017-06-26	505825	38103673	45670185	17029508
2017-06-27	469452	38347888	45958913	17054849
2017-06-28	585773	38653765	46470866	17094763
2017-06-29	580104	39006161	46867744	17127220
2017-06-30	364295	39113645	46997520	17162333
2017-07-01	317186	39075470	47090299	17187199
2017-07-02	268000	39050955	47148323	17200337
2017-07-03	302627	39068079	47191076	17210150
2017-07-04	335884	39071730	47306132	17235788
2017-07-05	338270	39105412	47418108	17265157
2017-07-06	287393	39130982	47522532	17292897
2017-07-07	362819	39063759	47618054	17319778
2017-07-08	306822	38933964	47698273	17339152
2017-07-09	321440	38778167	47730685	17343822
2017-07-10	545960	38712740	47759407	17343189
2017-07-11	497103	38573080	47803305	17349865
2017-07-12	482807	38441847	47861227	17371949
2017-07-13	485098	38291435	47906378	17394571
2017-07-14	386264	38084023	47971716	17393378
2017-07-15	430071	37971393	48082535	17408395
2017-07-16	396554	37793148	48151802	17417892
2017-07-17	422559	37597273	48186152	17422022
